OBJECTID,AQI,Category,ResponsiblePollutant,PollenCount,PollenType,PollenDescription,ReportDateTime
54,50,Good,PM2.5,,,Not on file,2025/02/10 06:00:00+00
55,50,Good,PM2.5,,,Not on file,2025/02/09 06:00:00+00
56,50,Good,PM2.5,,,Not on file,2025/02/08 06:00:00+00
57,50,Good,PM2.5,,,Not on file,2025/02/07 06:00:00+00
58,51,Moderate,PM2.5,,,Not on file,2025/02/06 06:00:00+00
59,50,Good,PM2.5,,,Not on file,2025/02/05 06:00:00+00
60,50,Good,PM2.5,,,Not on file,2025/02/04 06:00:00+00
61,51,Moderate,PM2.5,,,Not on file,2025/02/03 06:00:00+00
62,51,Moderate,PM2.5,,,Not on file,2025/02/02 06:00:00+00
63,50,Good,PM2.5,,,Not on file,2025/02/01 06:00:00+00
64,50,Good,PM2.5,,,Not on file,2025/01/31 06:00:00+00
65,52,Moderate,PM2.5,,,Not on file,2025/01/30 06:00:00+00
66,50,Good,PM2.5,,,Not on file,2025/01/29 06:00:00+00
67,53,Moderate,PM2.5,,,Not on file,2025/01/28 06:00:00+00
68,52,Moderate,PM2.5,,,Not on file,2025/01/27 06:00:00+00
69,52,Moderate,PM2.5,,,Not on file,2025/01/26 06:00:00+00
70,55,Moderate,PM2.5,,,Not on file,2025/01/25 06:00:00+00
71,52,Moderate,PM2.5,,,Not on file,2025/01/24 06:00:00+00
72,50,Good,PM2.5,,,Not on file,2025/01/23 06:00:00+00
73,42,Good,PM2.5,,,Not on file,2025/01/22 06:00:00+00
74,43,Good,PM2.5,,,Not on file,2025/01/21 06:00:00+00
75,44,Good,PM2.5,,,Not on file,2025/01/20 06:00:00+00
76,50,Good,PM2.5,,,Not on file,2025/01/19 06:00:00+00
77,50,Good,PM2.5,,,Not on file,2025/01/18 06:00:00+00
78,50,Good,PM2.5,,,Not on file,2025/01/17 06:00:00+00
79,51,Moderate,PM2.5,,,Not on file,2025/01/16 06:00:00+00
80,50,Good,PM2.5,,,Not on file,2025/01/15 06:00:00+00
81,53,Moderate,PM2.5,,,Not on file,2025/01/14 06:00:00+00
82,53,Moderate,PM2.5,,,Not on file,2025/01/13 06:00:00+00
83,50,Good,PM2.5,,,Not on file,2025/01/12 06:00:00+00
84,53,Moderate,PM2.5,,,Not on file,2025/01/11 06:00:00+00
85,53,Moderate,PM2.5,,,Not on file,2025/01/10 06:00:00+00
86,55,Moderate,PM2.5,,,Not on file,2025/01/09 06:00:00+00
87,50,Good,PM2.5,,,Not on file,2025/01/08 06:00:00+00
88,50,Good,PM2.5,,,Not on file,2025/01/07 06:00:00+00
89,50,Good,PM2.5,,,Not on file,2025/01/06 06:00:00+00
90,50,Good,PM2.5,,,Not on file,2025/01/05 06:00:00+00
91,50,Good,PM2.5,,,Not on file,2025/01/04 06:00:00+00
92,50,Good,PM2.5,,,Not on file,2025/01/03 06:00:00+00
93,51,Moderate,PM2.5,,,Not on file,2025/01/02 06:00:00+00
94,50,Good,PM2.5,,,Not on file,2025/01/01 06:00:00+00
95,50,Good,PM2.5,,,Not on file,2024/12/31 06:00:00+00
96,44,Good,PM2.5,,,Not on file,2024/12/30 06:00:00+00
97,44,Good,PM2.5,,,Not on file,2024/12/29 06:00:00+00
98,50,Good,PM2.5,,,Not on file,2024/12/28 06:00:00+00
99,50,Good,PM2.5,,,Not on file,2024/12/27 06:00:00+00
100,53,Moderate,PM2.5,,,Not on file,2024/12/26 06:00:00+00
101,51,Moderate,PM2.5,,,Not on file,2024/12/25 06:00:00+00
102,51,Moderate,PM2.5,,,Not on file,2024/12/24 06:00:00+00
103,50,Good,PM2.5,,,Not on file,2024/12/23 06:00:00+00
104,50,Good,PM2.5,,,Not on file,2024/12/22 06:00:00+00
105,50,Good,PM2.5,,,Not on file,2024/12/21 06:00:00+00
106,51,Moderate,PM2.5,,,Not on file,2024/12/20 06:00:00+00
107,49,Good,PM2.5,,,Not on file,2024/12/19 06:00:00+00
108,50,Good,PM2.5,,,Not on file,2024/12/18 06:00:00+00
109,44,Good,PM2.5,,,Not on file,2024/12/17 06:00:00+00
110,50,Good,PM2.5,,,Not on file,2024/12/16 06:00:00+00
111,50,Good,PM2.5,,,Not on file,2024/12/15 06:00:00+00
112,53,Moderate,PM2.5,,,Not on file,2024/12/14 06:00:00+00
113,50,Good,PM2.5,,,Not on file,2024/12/13 06:00:00+00
114,44,Good,PM2.5,,,Not on file,2024/12/12 06:00:00+00
115,44,Good,PM2.5,,,Not on file,2024/12/11 06:00:00+00
116,44,Good,PM2.5,,,Not on file,2024/12/10 06:00:00+00
117,50,Good,PM2.5,,,Not on file,2024/12/09 06:00:00+00
118,51,Moderate,PM2.5,,,Not on file,2024/12/08 06:00:00+00
119,51,Moderate,PM2.5,,,Not on file,2024/12/07 06:00:00+00
120,49,Good,PM2.5,,,Not on file,2024/12/06 06:00:00+00
121,49,Good,PM2.5,,,Not on file,2024/12/05 06:00:00+00
122,51,Moderate,PM2.5,,,Not on file,2024/12/04 06:00:00+00
123,51,Moderate,PM2.5,,,Not on file,2024/12/03 06:00:00+00
124,50,Good,PM2.5,,,Not on file,2024/12/02 06:00:00+00
125,50,Good,PM2.5,,,Not on file,2024/12/01 06:00:00+00
126,50,Good,PM2.5,,,Not on file,2024/11/30 06:00:00+00
127,52,Moderate,PM2.5,,,Not on file,2024/11/29 06:00:00+00
128,51,Moderate,PM2.5,0,Ragweed,Slight,2024/11/28 06:00:00+00
129,51,Moderate,PM2.5,0,Ragweed,Slight,2024/11/27 06:00:00+00
130,51,Moderate,PM2.5,0,Ragweed,Slight,2024/11/26 06:00:00+00
131,50,Good,PM2.5,1,Ragweed,Slight,2024/11/25 06:00:00+00
132,50,Good,PM2.5,1,Ragweed,Slight,2024/11/24 06:00:00+00
133,33,Good,PM2.5,0,Ragweed,Slight,2024/11/23 06:00:00+00
134,28,Good,PM2.5,0,Ragweed,Slight,2024/11/22 06:00:00+00
135,39,Good,PM2.5,1,Ragweed,Slight,2024/11/21 06:00:00+00
136,39,Good,PM2.5,1,Ragweed,Slight,2024/11/20 06:00:00+00
137,53,Moderate,PM2.5,0,Ragweed,Slight,2024/11/19 06:00:00+00
138,57,Moderate,PM2.5,1,Ragweed,Slight,2024/11/18 06:00:00+00
139,50,Good,PM2.5,1,Ragweed,Slight,2024/11/17 06:00:00+00
140,50,Good,PM2.5,0,Ragweed,Slight,2024/11/16 06:00:00+00
141,52,Moderate,PM2.5,1,Ragweed,Slight,2024/11/15 06:00:00+00
142,44,Good,PM2.5,0,Ragweed,Slight,2024/11/14 06:00:00+00
143,50,Good,PM2.5,0,Ragweed,Slight,2024/11/13 06:00:00+00
144,50,Good,PM2.5,1,Ragweed,Slight,2024/11/12 06:00:00+00
145,50,Good,PM2.5,0,Ragweed,Slight,2024/11/11 06:00:00+00
146,50,Good,PM2.5,0,Ragweed,Slight,2024/11/10 06:00:00+00
147,49,Good,PM2.5,0,Ragweed,Slight,2024/11/09 06:00:00+00
148,50,Good,PM2.5,1,Ragweed,Slight,2024/11/08 06:00:00+00
149,47,Good,PM2.5,0,Ragweed,Slight,2024/11/07 06:00:00+00
150,47,Good,PM2.5,0,Ragweed,Slight,2024/11/06 06:00:00+00
151,44,Good,PM2.5,2,Ragweed,Slight,2024/11/05 06:00:00+00
152,51,Moderate,PM2.5,2,Ragweed,Slight,2024/11/04 06:00:00+00
153,51,Moderate,PM2.5,2,Ragweed,Slight,2024/11/03 05:00:00+00
154,53,Moderate,PM2.5,1,Ragweed,Slight,2024/11/02 05:00:00+00
155,50,Good,PM2.5,2,Ragweed,Slight,2024/11/01 05:00:00+00
156,50,Good,PM2.5,2,Ragweed,Slight,2024/10/31 05:00:00+00
157,50,Good,PM2.5,2,Ragweed,Slight,2024/10/30 05:00:00+00
158,51,Moderate,PM2.5,2,Ragweed,Slight,2024/10/29 05:00:00+00
159,50,Good,PM2.5,1,Ragweed,Slight,2024/10/28 05:00:00+00
160,50,Good,PM2.5,1,Ragweed,Slight,2024/10/27 05:00:00+00
161,51,Moderate,PM2.5,2,Ragweed,Slight,2024/10/26 05:00:00+00
162,51,Moderate,PM2.5,2,Ragweed,Slight,2024/10/25 05:00:00+00
163,50,Good,PM2.5,2,Ragweed,Slight,2024/10/24 05:00:00+00
164,51,Moderate,PM2.5,2,Ragweed,Slight,2024/10/23 05:00:00+00
165,58,Moderate,PM2.5,2,Ragweed,Slight,2024/10/22 05:00:00+00
166,58,Moderate,PM2.5,2,Ragweed,Slight,2024/10/21 05:00:00+00
167,58,Moderate,PM2.5,2,Ragweed,Slight,2024/10/20 05:00:00+00
168,56,Moderate,PM2.5,2,Ragweed,Slight,2024/10/19 05:00:00+00
169,51,Moderate,PM2.5,2,Ragweed,Slight,2024/10/18 05:00:00+00
170,50,Good,PM2.5,2,Ragweed,Slight,2024/10/17 05:00:00+00
171,42,Good,PM2.5,2,Ragweed,Slight,2024/10/16 05:00:00+00
172,43,Good,PM2.5,2,Ragweed,Slight,2024/10/15 05:00:00+00
173,49,Good,PM2.5,3,Ragweed,Slight,2024/10/14 05:00:00+00
174,51,Moderate,PM2.5,4,Ragweed,Slight,2024/10/13 05:00:00+00
175,51,Moderate,PM2.5,3,Ragweed,Slight,2024/10/12 05:00:00+00
176,51,Moderate,PM2.5,3,Ragweed,Slight,2024/10/11 05:00:00+00
177,50,Good,PM2.5,4,Elm, Grass,2024/10/10 05:00:00+00
178,50,Good,PM2.5,4,Elm, Grass,2024/10/09 05:00:00+00
179,50,Good,PM2.5,4,Elm, Grass,2024/10/08 05:00:00+00
180,53,Moderate,PM2.5,4,Elm, Grass,2024/10/07 05:00:00+00
181,53,Moderate,PM2.5,4,Elm, Grass,2024/10/06 05:00:00+00
182,53,Moderate,PM2.5,4,Elm, Grass,2024/10/05 05:00:00+00
183,58,Moderate,PM2.5,5,Elm, Grass,2024/10/04 05:00:00+00
184,50,Good,PM2.5,5,Elm, Grass,2024/10/03 05:00:00+00
185,52,Moderate,PM2.5,5,Elm, Grass,2024/10/02 05:00:00+00
186,49,Good,PM2.5,5,Elm, Grass,2024/10/01 05:00:00+00
187,47,Good,PM2.5,5,Elm, Grass,2024/09/30 05:00:00+00
188,46,Good,PM2.5,1,Elm, Grass,2024/09/29 05:00:00+00
189,44,Good,PM2.5,0,Elm, Grass,2024/09/28 05:00:00+00
190,42,Good,PM2.5,0,Elm, Grass,2024/09/27 05:00:00+00
191,47,Good,PM2.5,5,Elm, Grass,2024/09/26 05:00:00+00
192,51,Moderate,PM2.5,1,Elm, Grass,2024/09/25 05:00:00+00
193,50,Good,PM2.5,4,Elm, Grass,2024/09/24 05:00:00+00
194,51,Moderate,PM2.5,5,Elm, Grass,2024/09/23 05:00:00+00
195,50,Good,PM2.5,7,Elm, Grass,2024/09/22 05:00:00+00
196,50,Good,PM2.5,8,Elm, Grass,2024/09/21 05:00:00+00
197,61,Moderate,Ozone 8-hr,8,Elm, Grass,2024/09/20 05:00:00+00
198,51,Moderate,PM2.5,8,Grass, Ragweed,2024/09/19 05:00:00+00
199,46,Good,Ozone 8-hr,8,Grass, Ragweed,2024/09/18 05:00:00+00
200,44,Good,PM2.5,8,Grass, Ragweed,2024/09/17 05:00:00+00
201,46,Good,PM2.5,9,Grass, Ragweed,2024/09/16 05:00:00+00
202,44,Good,PM2.5,8,Grass, Ragweed,2024/09/15 05:00:00+00
203,47,Good,PM2.5,3,Grass, Ragweed,2024/09/14 05:00:00+00
204,47,Good,PM2.5,1,Grass, Ragweed,2024/09/13 05:00:00+00
205,50,Good,PM2.5,7,Grass, Ragweed,2024/09/12 05:00:00+00
206,51,Moderate,Ozone 8-hr,10,Grass, Ragweed,2024/09/11 05:00:00+00
207,67,Moderate,Ozone 8-hr,9,Grass, Ragweed,2024/09/10 05:00:00+00
208,54,Moderate,Ozone 8-hr,9,Grass, Ragweed,2024/09/09 05:00:00+00
209,48,Good,Ozone 8-hr,10,Grass, Ragweed,2024/09/08 05:00:00+00
210,48,Good,Ozone 8-hr,10,Grass, Ragweed,2024/09/07 05:00:00+00
211,61,Moderate,Ozone 8-hr,10,Grass, Ragweed,2024/09/06 05:00:00+00
212,51,Moderate,Ozone 8-hr,10,Grass, Ragweed,2024/09/05 05:00:00+00
213,50,Good,PM2.5,10,Grass, Ragweed,2024/09/04 05:00:00+00
214,48,Good,Ozone 8-hr,11,Grass, Ragweed,2024/09/03 05:00:00+00
215,,Not on file,PM2.5,11,Grass, Ragweed,2024/09/02 05:00:00+00
216,50,Good,PM2.5,6,Grass, Ragweed,2024/09/01 05:00:00+00
217,87,Moderate,Ozone 8-hr,10,Grass, Ragweed,2024/08/30 05:00:00+00
218,101,Unhealthy for Sensitive Groups,Ozone 8-hr,11,Grass, Ragweed,2024/08/29 05:00:00+00
219,101,Unhealthy for Sensitive Groups,Ozone 8-hr,11,Grass, Ragweed,2024/08/28 05:00:00+00
220,112,Unhealthy for Sensitive Groups,Ozone 8-hr,10,Grass, Ragweed,2024/08/27 05:00:00+00
221,105,Unhealthy for Sensitive Groups,Ozone 8-hr,10,Grass, Ragweed,2024/08/26 05:00:00+00
222,84,Moderate,Ozone 8-hr,10,Grass, Ragweed,2024/08/25 05:00:00+00
223,84,Moderate,Ozone 8-hr,10,Grass, Ragweed,2024/08/24 05:00:00+00
224,84,Moderate,Ozone 8-hr,10,Grass, Ragweed,2024/08/23 05:00:00+00
225,54,Moderate,Ozone 8-hr,9,Grass, Ragweed,2024/08/22 05:00:00+00
226,51,Moderate,PM2.5,9,Grass, Ragweed,2024/08/21 05:00:00+00
227,58,Moderate,PM2.5,9,Grass, Ragweed,2024/08/20 05:00:00+00
228,50,Good,PM2.5,9,Goldenrod, Ragweed,2024/08/19 05:00:00+00
229,50,Good,PM2.5,8,Grass, Ragweed,2024/08/18 05:00:00+00
230,50,Good,PM2.5,8,Grass, Ragweed,2024/08/17 05:00:00+00
231,51,Moderate,PM2.5,4,Grass, Ragweed,2024/08/16 05:00:00+00
232,51,Moderate,PM2.5,8,Grass,Moderate,2024/08/15 05:00:00+00
233,51,Moderate,Ozone 8-hr,7,Grass,Moderate,2024/08/14 05:00:00+00
234,51,Moderate,Ozone 8-hr,7,Grass,Moderate,2024/08/13 05:00:00+00
235,51,Moderate,Ozone 8-hr,7,Grass,Moderate,2024/08/12 05:00:00+00
236,50,Good,PM2.5,6,Grass,Moderate,2024/08/11 05:00:00+00
237,50,Good,PM2.5,6,Grass,Moderate,2024/08/10 05:00:00+00
238,58,Moderate,PM2.5,7,Grass,Moderate,2024/08/09 05:00:00+00
239,62,Moderate,PM2.5,6,Grass,Moderate,2024/08/08 05:00:00+00
240,71,Moderate,PM2.5,6,Grass,Moderate,2024/08/07 05:00:00+00
241,62,Moderate,PM2.5,5,Grass,Moderate,2024/08/06 05:00:00+00
242,81,Moderate,PM2.5,6,Grass,Moderate,2024/08/05 05:00:00+00
243,66,Moderate,PM2.5,5,Grass,Moderate,2024/08/04 05:00:00+00
244,54,Moderate,PM2.5,5,Grass,Slight,2024/08/03 05:00:00+00
245,90,Moderate,PM2.5,5,Grass,Moderate,2024/08/02 05:00:00+00
246,53,Moderate,PM2.5,5,Grass,Moderate,2024/08/01 05:00:00+00
247,53,Moderate,PM2.5,5,Grass,Moderate,2024/07/31 05:00:00+00
248,53,Moderate,PM2.5,5,Grass,Moderate,2024/07/30 05:00:00+00
249,50,Good,PM2.5,0,Grass,Slight,2024/07/29 05:00:00+00
250,51,Moderate,PM2.5,0,Grass,Slight,2024/07/28 05:00:00+00
251,71,Moderate,Ozone 8-hr,3,Grass,Slight,2024/07/27 05:00:00+00
252,100,Moderate,Ozone 8-hr,2,Grass,Slight,2024/07/26 05:00:00+00
253,50,Good,PM2.5,1,Grass, Ragweed,2024/07/25 05:00:00+00
254,50,Good,PM2.5,0,Grass, Ragweed,2024/07/24 05:00:00+00
255,50,Good,PM2.5,0,Grass, Ragweed,2024/07/23 05:00:00+00
256,51,Moderate,PM2.5,2,Grass, Ragweed,2024/07/22 05:00:00+00
257,51,Moderate,PM2.5,3,Grass, Ragweed,2024/07/21 05:00:00+00
258,51,Moderate,PM2.5,3,Grass, Ragweed,2024/07/20 05:00:00+00
259,50,Good,PM2.5,3,Grass, Ragweed,2024/07/19 05:00:00+00
260,50,Good,PM2.5,1,Grass,Slight,2024/07/18 05:00:00+00
261,51,Moderate,PM2.5,2,Grass,Slight,2024/07/17 05:00:00+00
262,56,Moderate,PM2.5,4,Grass,Slight,2024/07/16 05:00:00+00
263,67,Moderate,Ozone 8-hr,4,Grass,Slight,2024/07/15 05:00:00+00
264,67,Moderate,Ozone 8-hr,4,Grass,Slight,2024/07/14 05:00:00+00
265,56,Moderate,PM2.5,3,Grass,Slight,2024/07/13 05:00:00+00
266,74,Moderate,Ozone 8-hr,3,Grass,Slight,2024/07/12 05:00:00+00
267,67,Moderate,Ozone 8-hr,3,Grass,Slight,2024/07/11 05:00:00+00
268,54,Moderate,Ozone 8-hr,3,Grass,Slight,2024/07/10 05:00:00+00
269,51,Moderate,PM2.5,0,Grass,Slight,2024/07/09 05:00:00+00
270,51,Moderate,PM2.5,3,Grass,Slight,2024/07/08 05:00:00+00
271,51,Moderate,Ozone 8-hr,3,Grass,Slight,2024/07/07 05:00:00+00
272,51,Moderate,Ozone 8-hr,3,Grass,Slight,2024/07/06 05:00:00+00
273,51,Moderate,PM2.5,0,Grass,Slight,2024/07/05 05:00:00+00
274,52,Moderate,PM2.5,2,Grass,Slight,2024/07/04 05:00:00+00
275,50,Good,PM2.5,4,Grass,Slight,2024/07/03 05:00:00+00
276,51,Moderate,Ozone 8-hr,4,Grass,Slight,2024/07/02 05:00:00+00
277,50,Good,PM2.5,4,Grass,Slight,2024/07/01 05:00:00+00
278,52,Moderate,PM2.5,3,Grass,Slight,2024/06/30 05:00:00+00
279,51,Moderate,PM2.5,4,Grass,Slight,2024/06/29 05:00:00+00
280,67,Moderate,Ozone 8-hr,4,Grass,Slight,2024/06/28 05:00:00+00
281,67,Moderate,Ozone 8-hr,4,Grass,Slight,2024/06/28 05:00:00+00
282,50,Good,PM2.5,1,Grass,Slight,2024/06/27 05:00:00+00
283,67,Moderate,Ozone 8-hr,3,Grass,Slight,2024/06/26 05:00:00+00
284,67,Moderate,Ozone 8-hr,4,Grass,Slight,2024/06/25 05:00:00+00
285,50,Good,PM2.5,3,Grass,Slight,2024/06/24 05:00:00+00
286,60,Moderate,PM2.5,60,Grass,Extremely Heavy,2024/06/23 05:00:00+00
287,100,Moderate,Ozone 8-hr,4,Grass,Slight,2024/06/22 05:00:00+00
288,100,Moderate,Ozone 8-hr,4,Grass,Slight,2024/06/21 05:00:00+00
289,84,Moderate,Ozone 8-hr,4,Grass, Poplar,2024/06/20 05:00:00+00
290,61,Moderate,Ozone 8-hr,4,Grass, Poplar,2024/06/19 05:00:00+00
291,56,Moderate,PM2.5,3,Grass, Poplar,2024/06/18 05:00:00+00
292,67,Moderate,Ozone 8-hr,3,Grass, Poplar,2024/06/17 05:00:00+00
293,67,Moderate,Ozone 8-hr,4,Grass, Poplar,2024/06/16 05:00:00+00
294,100,Moderate,Ozone 8-hr,4,Grass, Poplar,2024/06/15 05:00:00+00
295,101,Unhealthy for Sensitive Groups,Ozone 8-hr,4,Grass, Poplar,2024/06/14 05:00:00+00
296,105,Unhealthy for Sensitive Groups,Ozone 8-hr,4,Grass, Juniper,2024/06/13 05:00:00+00
297,84,Moderate,Ozone 8-hr,4,Grass, Juniper,2024/06/12 05:00:00+00
298,51,Moderate,Ozone 8-hr,4,Grass, Juniper,2024/06/11 05:00:00+00
299,47,Good,PM2.5,4,Grass, Juniper,2024/06/10 05:00:00+00
300,50,Good,PM2.5,1,Grass, Juniper,2024/06/09 05:00:00+00
301,49,Good,Ozone 8-hr,5,Grass, Juniper,2024/06/08 05:00:00+00
302,50,Good,Ozone 8-hr,5,Grass, Juniper,2024/06/07 05:00:00+00
303,44,Good,PM2.5,5,Grass, Maple,2024/06/06 05:00:00+00
304,47,Good,PM2.5,0,Grass, Maple,2024/06/05 05:00:00+00
305,47,Good,PM2.5,1,Grass, Maple,2024/06/04 05:00:00+00
306,50,Good,PM2.5,6,Grass, Maple,2024/06/03 05:00:00+00
307,49,Good,PM2.5,5,Grass, Maple,2024/06/02 05:00:00+00
308,51,Moderate,PM2.5,0,Grass, Maple,2024/06/01 05:00:00+00
309,51,Moderate,Ozone 8-hr,6,Grass, Maple,2024/05/31 05:00:00+00
310,54,Moderate,Ozone 8-hr,6,Grass, Juniper,2024/05/30 05:00:00+00
311,50,Good,PM2.5,6,Grass, Juniper,2024/05/29 05:00:00+00
312,50,Good,PM2.5,7,Grass, Juniper,2024/05/28 05:00:00+00
313,50,Good,PM2.5,1,Grass, Juniper,2024/05/27 05:00:00+00
314,53,Moderate,PM2.5,7,Grass, Juniper,2024/05/26 05:00:00+00
315,50,Good,PM2.5,2,Grass, Juniper,2024/05/25 05:00:00+00
316,50,Good,PM2.5,0,Grass, Juniper,2024/05/24 05:00:00+00
317,50,Good,PM2.5,0,Grass, Maple,2024/05/23 05:00:00+00
318,53,Moderate,PM2.5,3,Grass, Maple,2024/05/22 05:00:00+00
319,84,Moderate,Ozone 8-hr,7,Grass, Maple,2024/05/21 05:00:00+00
320,51,Moderate,Ozone 8-hr,7,Grass, Maple,2024/05/20 05:00:00+00
321,50,Good,PM2.5,7,Grass, Maple,2024/05/19 05:00:00+00
322,50,Good,PM2.5,5,Grass, Maple,2024/05/18 05:00:00+00
323,50,Good,PM2.5,4,Grass, Maple,2024/05/17 05:00:00+00
324,50,Good,PM2.5,7,Hickory, Sweet Gum,2024/05/16 05:00:00+00
325,51,Moderate,PM2.5,4,Hickory, Sweet Gum,2024/05/15 05:00:00+00
326,47,Good,PM2.5,0,Hickory, Sweet Gum,2024/05/14 05:00:00+00
327,53,Moderate,PM2.5,6,Hickory, Sweet Gum,2024/05/13 05:00:00+00
328,52,Moderate,PM2.5,8,Hickory, Sweet Gum,2024/05/12 05:00:00+00
329,52,Moderate,PM2.5,8,Hickory, Sweet Gum,2024/05/11 05:00:00+00
330,51,Moderate,PM2.5,8,Hickory, Sweet Gum,2024/05/10 05:00:00+00
331,50,Good,PM2.5,2,Maple, Mulberry,2024/05/09 05:00:00+00
332,52,Moderate,PM2.5,6,Maple, Mulberry,2024/05/08 05:00:00+00
333,50,Good,PM2.5,8,Maple, Mulberry,2024/05/07 05:00:00+00
334,50,Good,PM2.5,5,Maple, Mulberry,2024/05/06 05:00:00+00
335,44,Good,PM2.5,7,Maple, Mulberry,2024/05/05 05:00:00+00
336,49,Good,PM2.5,5,Maple, Mulberry,2024/05/04 05:00:00+00
337,50,Good,PM2.5,3,Maple, Mulberry,2024/05/03 05:00:00+00
338,100,Moderate,Ozone 8-hr,9,Birch, Maple,2024/05/02 05:00:00+00
339,58,Moderate,Ozone 8-hr,8,Birch, Maple,2024/05/01 05:00:00+00
340,50,Good,Ozone 8-hr,0,Birch, Maple,2024/04/30 05:00:00+00
341,48,Good,Ozone 8-hr,7,Birch, Maple,2024/04/29 05:00:00+00
342,48,Good,Ozone 8-hr,9,Birch, Maple,2024/04/28 05:00:00+00
343,50,Good,PM2.5,9,Birch, Maple,2024/04/27 05:00:00+00
344,50,Good,Ozone 8-hr,8,Birch, Maple,2024/04/26 05:00:00+00
345,50,Good,Ozone 8-hr,8,Juniper, Maple,2024/04/25 05:00:00+00
346,48,Good,Ozone 8-hr,8,Juniper, Maple,2024/04/24 05:00:00+00
347,50,Good,Ozone 8-hr,9,Juniper, Maple,2024/04/23 05:00:00+00
348,44,Good,Ozone 8-hr,8,Juniper, Maple,2024/04/22 05:00:00+00
